text,font_size,bold,italic,y_position,page_number,label,lang
4. Section principale,17.95,0,0,368.2,36,H1,fr
This is an example sentence in English about a certain topic.,13.84,1,1,402.55,25,Other,en
19.8.3 Section imbriquée,14.43,1,0,593.65,2,H3,fr
17.14.7 Sección anidada,15.92,0,0,788.78,16,H3,es
19.8.4 Nested Section,13.48,0,0,500.19,30,H3,en
This is an example sentence in English about a certain topic.,10.14,0,0,703.76,23,Other,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,11.21,0,0,170.45,6,Other,de
Esta es una frase de ejemplo en español sobre un tema determinado.,13.75,1,0,137.71,17,Other,es
4.2.1 Nested Section,14.8,1,0,62.78,28,H3,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.15,1,0,216.79,23,Other,de
19. Hauptabschnitt,16.56,1,0,309.55,12,H1,de
14. Hauptabschnitt,18.33,1,0,775.66,0,H1,de
This is an example sentence in English about a certain topic.,11.77,1,0,733.23,35,Other,en
This is an example sentence in English about a certain topic.,13.63,1,1,734.32,8,Other,en
Ceci est une phrase d'exemple en français sur un certain sujet.,10.17,1,0,231.97,35,Other,fr
Esta es una frase de ejemplo en español sobre un tema determinado.,11.89,0,1,465.12,14,Other,es
Esta es una frase de ejemplo en español sobre un tema determinado.,11.07,0,1,243.97,2,Other,es
Esta es una frase de ejemplo en español sobre un tema determinado.,13.47,1,0,550.28,5,Other,es
8.1 उप अनुभाग,14.7,1,0,375.34,31,H2,hi
3.10.9 Sección anidada,14.64,0,0,617.76,31,H3,es
Ceci est une phrase d'exemple en français sur un certain sujet.,12.01,0,1,563.61,9,Other,fr
5.13 Sous-section,16.13,1,1,702.97,12,H2,fr
1. Major Section,18.39,1,0,230.96,0,H1,en
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,13.4,0,0,314.83,15,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,10.07,0,1,312.37,18,Other,de
Dies ist ein Beispielsatz auf Deutsch zu einem bestimmten Thema.,12.51,0,0,369.42,9,Other,de
